total_elem_nutr,total_mid_nutr,total_elem_ne,total_mid_ne,total_elem_pa,total_mid_pa,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
37,37,31,29,42,33,-0.30659869,-0.15594396,,,-0.29369807,0.021069288,-0.21886241,-0.44680632,0.30703387,0.06241816,0.41946352,0.43783963
29,20,38,38,36,29,0.234194772,0.26601368,0.138983582,0.43229658,-0.499977578,-0.25910371,0.071948561,-0.24033368,-0.072295986,-0.08532289,-0.240474212,-0.10158716
44,43,29,18,36,28,-0.104407464,-0.26021968,-0.029871624,0.052259261,-0.024667203,-0.148020367,-0.09220165,-0.253731683,0.12909114,0.335926262,-0.139159642,-0.292624545
27,23,38,38,29,24,,,,,,,,,0.38667804,0.14258076,-0.17162502,0.026996534
14,15,25,24,33,26,-0.07960081,0.450464853,-0.87618763,-1.17547231,-0.13717976,-0.25189036,0.18625207,-0.411414944,-0.250670597,-0.37908512,0.110428784,-0.207617491
17,32,25,21,25,26,0.32742675,0.090264363,-0.088267122,-0.11994907,0.227395513,0.066727651,-0.193735771,0.034706565,0.202666578,0.029349041,-0.048814679,-0.08443969
22,22,41,38,34,28,0.245125063,0.12365174,-0.85665502,-1.11992867,0.18200451,0.02672178,0.25775479,-0.03482404,0.0913018,-0.3814446,-0.62987214,0.06103397
20,21,15,14,25,17,-0.1067138,-0.42429603,0.110794187,0.0855386,-0.102595075,-0.35219927,0.05260426,0.52576432,0.145524329,0.01277756,0.56209799,0.65876313
15,22,20,16,20,16,-0.128153253,0.49548635,,,0.51194525,0.51111698,,,0.2785458,0.24039263,-0.207586747,-0.503708563
32,39,43,34,38,32,0.135516469,0.259114845,-0.08586186,0.03073166,0.12078936,-0.138066574,0.09943368,-0.104286262,-0.127696663,-0.26657331,-0.15826813,-0.01258184
34,33,52,50,38,26,-0.03345051,-0.279685856,-0.022548434,0.107503301,-0.26345059,-0.45631244,0.294751899,-0.144345061,-0.095306195,0.110177561,0.256014567,0.04567929
